baseMean log2FoldChange lfcSE stat pvalue padj
YAL003W 882.829976416757 0.995956893248107 0.0612240601682274 16.2677658713621 1.67145858373153e-59 9.87422042578002e-58
YAL005C 1638.09879664512 1.48820747556216 0.0472057943924601 31.5249527526167 3.95370380817517e-218 1.12536787485422e-215
YAL011W 50.1122955599256 -0.722341724955026 0.247191333156817 -2.91337609709388 0.00357543693646269 0.0181401499836811
YAL012W 750.831340272669 0.444641015618336 0.068416125999834 6.49934889078797 8.06683829034568e-11 1.2142918599554e-09
YAL016C-A 17.8103597452908 0.930581311922135 0.36597722236393 2.54467726810299 0.010937877798239 0.046185428707062
YAL021C 147.84042565349 0.393400708352785 0.142483802045982 2.76160620522885 0.0057517806203035 0.0271421629573026
YAL023C 484.14441064725 0.246750244896911 0.0818160634030176 3.01606019965141 0.0025608241266122 0.0137544470212943
YAL025C 53.7450491386504 1.10510622067208 0.236812060430668 4.66696182730131 3.05686093974432e-06 3.01449814246913e-05
YAL026C-A 12.8578375274815 -1.34803612106058 0.440014544096611 -2.96870291304464 0.00299059578418166 0.0156581193984495
YAL031C 88.9006037160454 -0.709925254596155 0.197941453861623 -3.58063815372086 0.000342756054227391 0.00237426815439372
YAL035W 513.232972376644 0.429277130402437 0.0789476292894521 5.43784033180647 5.3930269680971e-08 6.71394331495508e-07
YAL036C 55.3632373481408 0.627100828468569 0.23356433008224 2.68647732365953 0.00722098495223684 0.0329096126425816
YAL037C-B 3213.14075456289 0.837781288299332 0.0356871148436312 23.4759426087689 7.18407521274779e-122 9.99703977382815e-120
YAL038W 9025.77536018903 1.689249883401 0.0249371223096077 67.7396859030372 0 0
YAL039C 259.492922025161 0.373732554555557 0.109938671996006 3.39986529727919 0.000674190573932182 0.00428607246087647
YAL042C-A 68.6524466178693 1.00090997792742 0.210336444728771 4.75969423352916 1.93886460942119e-06 1.98709822981923e-05
YAL042W 650.555662919581 0.310701608511105 0.0720509780327064 4.31242749739157 1.6147184049042e-05 0.000144448095021573
YAL044C 165.04270985616 1.80854206482617 0.149161530153243 12.1143961745812 8.86143220205384e-34 3.11743193535175e-32
YAL053W 593.11619958629 -0.24966939233997 0.0790188221655645 -3.15942436253534 0.00158081127423754 0.0090319709847404
YAL054C 55.5924866190973 -0.998384087045926 0.243371581636016 -4.08348192931325 4.4365880786375e-05 0.000364114214265111
YAL058W 46.6215479593836 0.726181069796729 0.246290429369844 2.95038413586073 0.00317379058699404 0.0165068742988012
YAL060W 239.078566678887 0.772222651041524 0.113321734545118 6.81535046523403 9.40342400703709e-12 1.51763508072336e-10
YAL061W 251.172827648061 2.69960304676151 0.127605765978183 21.0980151093531 8.29455302477345e-99 8.65674850685522e-97
YAR002C-A 178.035676153394 -0.464598436738262 0.141091245986815 -3.29140631460588 0.000996878147119647 0.00610807334370179
YAR007C 107.491657011894 -0.438832858641902 0.173519841952391 -2.52722823382731 0.0114966763026194 0.0478353402039884
YAR008W 24.614973043635 -1.16424874559585 0.353846664703886 -3.24856741526038 0.00115987720407351 0.00694373905536168
YAR015W 290.572293597476 2.01123424617192 0.109925916234492 18.2822271531098 1.14647439157785e-74 8.44614428242411e-73
YAR042W 184.342756660673 0.404988707991208 0.132505676776706 3.05690719322394 0.00223633504703423 0.012230506606575
YAR071W 95.3152776536449 2.56510126328763 0.471496822131265 5.44561434254094 5.16268858764372e-08 6.43999122227589e-07
YAR075W 4.79457072843435 1.45805729937518 0.530553914373639 2.69421524182373 0.00705545856715064 0.0322491106186112
YBL001C 77.6373623322375 -0.67189188741786 0.204045761429187 -3.2870399779814 0.00101246459217269 0.00619403216482339
YBL002W 192.116637733731 -0.870237546943922 0.134332937006066 -6.47113575346078 9.72689945276066e-11 1.44678965256977e-09
YBL003C 329.148933715433 -1.0394253738586 0.107805111472222 -9.63353607306226 5.7708671010837e-22 1.4749865219178e-20
YBL005W 53.9224619722729 0.721655738476615 0.238819467523922 3.0234423696871 0.00249916624356397 0.0134795684902649
YBL006C 148.823764538411 0.578881379357651 0.145865559454137 3.96952046617148 7.20174212176099e-05 0.000573757114077193
YBL007C 437.3807720853 0.396369929038326 0.0871607912108919 4.54789509537598 5.41851315723443e-06 5.14882084834629e-05
YBL022C 218.935722352771 0.387019851683288 0.120949159468791 3.20030335531633 0.00137283012602782 0.00803053152453687
YBL027W 1712.19266189629 0.415838626964709 0.0443235144631923 9.38207285078664 6.46882617322247e-21 1.60745196415552e-19
YBL039C 71.5822193391638 0.724962714553702 0.205752005472583 3.52501441055902 0.000423459754778285 0.00286361229419181
YBL040C 100.105455107195 -0.576608939848947 0.178421372124679 -3.2281377347612 0.00124598965142102 0.00739562767506962
YBL044W 7.20438241353629 -1.6602155952071 0.514874691978967 -2.94477229916691 0.00323192416333199 0.0167120636752972
YBL047C 572.393352413912 0.405366585529607 0.0758528707582155 5.34441268168892 9.07106904055556e-08 1.10943426429607e-06
YBL050W 150.153098428033 -0.51728644245514 0.148082376883175 -3.49101529903466 0.000481188698270719 0.00317513554117096
YBL052C 58.297738857772 -0.627866972668278 0.244906050121691 -2.55854341577101 0.0105111694072749 0.0446849577925021
YBL055C 82.6726484734534 0.557981562812137 0.188381173532613 2.96321163618563 0.00304447168412743 0.0159003183369524
YBL056W 330.994517715946 0.260563013712875 0.0974083642078485 2.6751531784555 0.00746951132496893 0.0337963005180314
YBL060W 43.0577779129639 -0.701254281632125 0.265700135710086 -2.63054288363996 0.00852486136232512 0.0378064319057223
YBL072C 1889.57609087389 0.291218000433701 0.0448617951648363 6.49153488636523 8.49662297948291e-11 1.27286729898378e-09
YBL076C 654.558068850829 0.545465840434378 0.0697382450041112 7.82204248630674 5.19730602730867e-15 1.0044916772533e-13
YBL084C 64.9982146950864 -1.10780036261234 0.229571320697246 -4.80266995178531 1.56563834218098e-06 1.61782628692035e-05
YBL085W 215.296581052147 -0.808795019308572 0.127709747721512 -6.32761943742906 2.48972247420498e-10 3.63418231549454e-09
